disease,protein,coefficient,pval,beta,nom_sig,fdr_sig,pval_fdr_corrected,bonf_sig,fdr_sig_permissive,pval_fdr_corrected_permissive
p131344,cd99,0.1175120361891516,7.241350852282833e-10,0.0896218672587648,1,1,6.687046175996174e-08,1,1,9.387610379708488e-09
p131344,cdh17,0.5367515448043405,0.0227385668518496,0.4203333147451062,1,0,0.36171697483317394,0,0,0.16268107019742398
p131344,cdh2,0.5026012343942076,2.784263930522002e-10,0.3884170835325625,1,1,3.0532245911181e-08,1,1,9.387610379708488e-09
p131344,cdh22,-0.576690186662392,0.0447964371270483,-0.5425538445313114,1,0,0.5444073020163013,0,0,0.29450630624741886
p131344,cdh5,0.5256019731532493,0.0435072847979215,0.4141845030716771,1,0,0.5349703987108306,0,0,0.28732525865414676
p131344,cdh6,0.424482828641584,3.0268421102874754e-10,0.3301033179685211,1,1,3.272042962349694e-08,1,1,9.387610379708488e-09
p131344,cdsn,0.3927465224590396,3.91251919751312e-10,0.2983255419066565,1,1,4.0749665862422206e-08,1,1,9.387610379708488e-09
p131344,ceacam16,0.2279725404515272,6.587700385196624e-10,0.1727843697384531,1,1,6.219438331005565e-08,1,1,9.387610379708488e-09
p131344,ceacam18,-0.0967177743228548,1.2698847529080122e-09,-0.128699483088119,1,1,1.0648957409299253e-07,1,1,1.2651172674875384e-08
p131344,ceacam19,0.5165743225118966,0.0298321489059062,0.4048912201339608,1,0,0.4294608290561278,0,0,0.2044132456721601
p131344,cebpb,-0.8702210606841432,0.0088443612870686,-0.7177299204662528,1,0,0.18878809423794227,0,0,0.06705633921286556
p131344,cenpj,-0.2739834146469163,7.401637081017042e-10,-0.2953881072916278,1,1,6.795758392987844e-08,1,1,9.387610379708488e-09
p131344,cfc1,0.4158354404078792,0.0138467413168312,0.3842359303853075,1,0,0.2599764760526639,0,0,0.10284640687997523
p131344,cfd,0.3201128646044548,0.0364237003438981,0.2706374705425315,1,0,0.4838663878366329,0,0,0.2438550029904554
p131344,cga,-0.3768970562988463,3.4925573544342114e-10,-0.2147994606408516,1,1,3.7052436544567335e-08,1,1,9.387610379708488e-09
p131344,cgn,0.244711573389152,3.1361802044216347e-10,0.2920517878113576,1,1,3.3742467138745306e-08,1,1,9.387610379708488e-09
p131344,chm,0.2088447394022832,6.986486944526861e-10,0.1682570509032614,1,1,6.519564219742146e-08,1,1,9.387610379708488e-09
p131344,cinp,-0.3922556538415336,5.277827064276153e-10,-0.4331998024461878,1,1,5.2695998215636645e-08,1,1,9.387610379708488e-09
p131344,clec14a,0.3996235806696726,3.5959690780629217e-10,0.3117913244212195,1,1,3.794781248175257e-08,1,1,9.387610379708488e-09
p131344,clec1a,0.2172391753223226,6.616713843499156e-10,0.1724141407322253,1,1,6.236467625869496e-08,1,1,9.387610379708488e-09
p131344,clec2l,0.2146989463120616,3.4360458922577664e-10,0.2893636298721947,1,1,3.6525716869995753e-08,1,1,9.387610379708488e-09
p131344,clec4a,0.1611963598729651,7.973429694274612e-10,0.1308224289298804,1,1,7.148105851411319e-08,1,1,9.387610379708488e-09
p131344,clec4d,0.455599534862307,3.0850322296771527e-10,0.3499444937944785,1,1,3.3259397093274995e-08,1,1,9.387610379708488e-09
p131344,clec7a,-0.1154126319151086,1.001316696225274e-09,-0.1255940191891741,1,1,8.632571830605205e-08,1,1,1.0416457794773068e-08
p131344,clgn,0.3750889132495761,1.6437418093318001e-10,0.3177072411568955,1,1,1.9031764756124864e-08,1,1,9.387610379708488e-09
p131344,clic5,0.2070872186945661,7.410950741970621e-10,0.2000537241332474,1,1,6.800050601903951e-08,1,1,9.387610379708488e-09
p131344,clmp,0.5366584789291526,0.0443717178828505,0.4157769222679623,1,0,0.5415829268357497,0,0,0.29237256094817293
p131344,clns1a,-0.4812553171340765,3.009499316419806e-10,-0.4226878039860978,1,1,3.258799655599753e-08,1,1,9.387610379708488e-09
p131344,clps,0.7044176684030145,0.013099938831247,0.5317451783899592,1,0,0.249797743242679,0,0,0.0977972415560358
p131344,cmip,-0.0232237723075229,0.0048695824923685,-0.0171008138755674,1,0,0.12074885675477816,0,1,0.03992784071692037
p131344,cnpy2,0.166066411009317,8.485330216245757e-10,0.1962153494637663,1,1,7.505873955550574e-08,1,1,9.387610379708488e-09
p131344,cntn5,0.3547472590722803,1.5233425632033004e-10,0.2696275906273592,1,1,1.770192797335189e-08,1,1,9.387610379708488e-09
p131344,col18a1,0.2036359324964263,6.701101895600914e-10,0.1614194928400251,1,1,6.298195972111501e-08,1,1,9.387610379708488e-09
p131344,col24a1,0.1222855231946816,8.10433276043909e-10,0.09691333788312,1,1,7.237015045836171e-08,1,1,9.387610379708488e-09
p131344,col28a1,0.2902167120466996,5.281166615134223e-10,0.2206018139748143,1,1,5.2695998215636645e-08,1,1,9.387610379708488e-09
p131344,col4a1,0.4229090506133872,3.623833455534964e-10,0.3260400096722265,1,1,3.821660295099009e-08,1,1,9.387610379708488e-09
p131344,col6a3,0.3977670441113458,3.496339884279109e-10,0.3184700464042677,1,1,3.706793543316228e-08,1,1,9.387610379708488e-09
p131344,col9a1,0.4480686901622312,2.2073409766676372e-10,0.3726648011305626,1,1,2.4784465333307896e-08,1,1,9.387610379708488e-09
p131344,commd9,-0.0597464791220294,0.0043243060251899,-0.0581506898907903,1,0,0.11061203484651479,0,1,0.037856221321707705
p131344,coq7,0.3917969314278177,0.0085989109633499,0.391718384635031,1,0,0.18480887319467784,0,0,0.06546824082592714
p131344,crtap,0.2536571451236966,3.2519387183072013e-10,0.29277831367983,1,1,3.478019438352258e-08,1,1,9.387610379708488e-09
